"Series";"Time";"Value"
"Average sig_qual";"2019-08-18T20:00:00-04:00";67.806
"Average sig_qual";"2019-08-19T20:00:00-04:00";74.741
"Average sig_qual";"2019-08-20T20:00:00-04:00";82.526
"Average sig_qual";"2019-08-21T20:00:00-04:00";81.83
"Average sig_qual";"2019-08-22T20:00:00-04:00";81.567
"Average sig_qual";"2019-08-23T20:00:00-04:00";81.88
"Average sig_qual";"2019-08-24T20:00:00-04:00";82.037
"Average sig_qual";"2019-08-25T20:00:00-04:00";82.604
"Average sig_qual";"2019-08-26T20:00:00-04:00";83.696
"Average sig_qual";"2019-08-27T20:00:00-04:00";83.529
"Average sig_qual";"2019-08-28T20:00:00-04:00";83.295
"Average sig_qual";"2019-08-29T20:00:00-04:00";83.964
"Average sig_qual";"2019-08-30T20:00:00-04:00";83.492
"Average sig_qual";"2019-08-31T20:00:00-04:00";83.231
"Average sig_qual";"2019-09-01T20:00:00-04:00";82.674
"Average sig_qual";"2019-09-02T20:00:00-04:00";83.707
"Average sig_qual";"2019-09-03T20:00:00-04:00";89.627
"Average sig_qual";"2019-09-04T20:00:00-04:00";89.186
"Average sig_qual";"2019-09-05T20:00:00-04:00";89.336
"Average sig_qual";"2019-09-06T20:00:00-04:00";91.937
"Average sig_qual";"2019-09-07T20:00:00-04:00";92.507
"Average sig_qual";"2019-09-08T20:00:00-04:00";91.214
"Average sig_qual";"2019-09-09T20:00:00-04:00";90.473
"Average sig_qual";"2019-09-10T20:00:00-04:00";null
"Average sig_qual";"2019-09-11T20:00:00-04:00";null
"Average sig_qual";"2019-09-12T20:00:00-04:00";null
"Average sig_qual";"2019-09-13T20:00:00-04:00";null
"Average sig_qual";"2019-09-14T20:00:00-04:00";null
"Average sig_qual";"2019-09-15T20:00:00-04:00";null
"Average sig_qual";"2019-09-16T20:00:00-04:00";null
"Average sig_qual";"2019-09-17T20:00:00-04:00";85.158
"Average sig_qual";"2019-09-18T20:00:00-04:00";81.5
"Average sig_qual";"2019-09-19T20:00:00-04:00";91.391
"Average sig_qual";"2019-09-20T20:00:00-04:00";90.091
"Average sig_qual";"2019-09-21T20:00:00-04:00";88.294
"Average sig_qual";"2019-09-22T20:00:00-04:00";88.879
"Average sig_qual";"2019-09-23T20:00:00-04:00";90.926
"Average sig_qual";"2019-09-24T20:00:00-04:00";91.836
"Average sig_qual";"2019-09-25T20:00:00-04:00";91.483
"Average sig_qual";"2019-09-26T20:00:00-04:00";91.923
"Average sig_qual";"2019-09-27T20:00:00-04:00";84.998
"Average sig_qual";"2019-09-28T20:00:00-04:00";83.65
"Average sig_qual";"2019-09-29T20:00:00-04:00";83.342
"Average sig_qual";"2019-09-30T20:00:00-04:00";83.887
"Average sig_qual";"2019-10-01T20:00:00-04:00";85.368
"Average sig_qual";"2019-10-02T20:00:00-04:00";80.373
"Average sig_qual";"2019-10-03T20:00:00-04:00";83.62
"Average sig_qual";"2019-10-04T20:00:00-04:00";83.618
"Average sig_qual";"2019-10-05T20:00:00-04:00";84.132
"Average sig_qual";"2019-10-06T20:00:00-04:00";83.696
"Average sig_qual";"2019-10-07T20:00:00-04:00";81.552
"Average sig_qual";"2019-10-08T20:00:00-04:00";79.506
"Average sig_qual";"2019-10-09T20:00:00-04:00";75.854
"Average sig_qual";"2019-10-10T20:00:00-04:00";76.724
"Average sig_qual";"2019-10-11T20:00:00-04:00";75.361
"Average sig_qual";"2019-10-12T20:00:00-04:00";74.603
"Average sig_qual";"2019-10-13T20:00:00-04:00";74.754
"Average sig_qual";"2019-10-14T20:00:00-04:00";75.567
"Average sig_qual";"2019-10-15T20:00:00-04:00";71.493
"Average sig_qual";"2019-10-16T20:00:00-04:00";76.951
"Average sig_qual";"2019-10-17T20:00:00-04:00";54.315
"Average sig_qual";"2019-10-18T20:00:00-04:00";56.609
"Average sig_qual";"2019-10-19T20:00:00-04:00";55.727
"Average sig_qual";"2019-10-20T20:00:00-04:00";58.917
"Average sig_qual";"2019-10-21T20:00:00-04:00";76.535
"Average sig_qual";"2019-10-22T20:00:00-04:00";77.598
"Average sig_qual";"2019-10-23T20:00:00-04:00";83.485
"Average sig_qual";"2019-10-24T20:00:00-04:00";null
"Average sig_qual";"2019-10-25T20:00:00-04:00";null
"Average sig_qual";"2019-10-26T20:00:00-04:00";null
"Average sig_qual";"2019-10-27T20:00:00-04:00";80.666
"Average sig_qual";"2019-10-28T20:00:00-04:00";76.558
"Average sig_qual";"2019-10-29T20:00:00-04:00";null
"Average sig_qual";"2019-10-30T20:00:00-04:00";null
"Average sig_qual";"2019-10-31T20:00:00-04:00";null
"Average sig_qual";"2019-11-01T20:00:00-04:00";77.735
"Average sig_qual";"2019-11-02T20:00:00-04:00";null
"Average sig_qual";"2019-11-03T19:00:00-05:00";91.008
"Average sig_qual";"2019-11-04T19:00:00-05:00";null
"Average sig_qual";"2019-11-05T19:00:00-05:00";null
"Average sig_qual";"2019-11-06T19:00:00-05:00";null
