"Series";"Time";"Value"
"Average sig_qual";"2019-08-17T20:00:00-04:00";79.082
"Average sig_qual";"2019-08-18T20:00:00-04:00";82.275
"Average sig_qual";"2019-08-19T20:00:00-04:00";84.266
"Average sig_qual";"2019-08-20T20:00:00-04:00";85.534
"Average sig_qual";"2019-08-21T20:00:00-04:00";88.216
"Average sig_qual";"2019-08-22T20:00:00-04:00";82.978
"Average sig_qual";"2019-08-23T20:00:00-04:00";80.784
"Average sig_qual";"2019-08-24T20:00:00-04:00";80.341
"Average sig_qual";"2019-08-25T20:00:00-04:00";84.088
"Average sig_qual";"2019-08-26T20:00:00-04:00";85.233
"Average sig_qual";"2019-08-27T20:00:00-04:00";86.018
"Average sig_qual";"2019-08-28T20:00:00-04:00";85.455
"Average sig_qual";"2019-08-29T20:00:00-04:00";84.938
"Average sig_qual";"2019-08-30T20:00:00-04:00";84.951
"Average sig_qual";"2019-08-31T20:00:00-04:00";85.273
"Average sig_qual";"2019-09-01T20:00:00-04:00";85.588
"Average sig_qual";"2019-09-02T20:00:00-04:00";85.555
"Average sig_qual";"2019-09-03T20:00:00-04:00";82.376
"Average sig_qual";"2019-09-04T20:00:00-04:00";84.96
"Average sig_qual";"2019-09-05T20:00:00-04:00";83.788
"Average sig_qual";"2019-09-06T20:00:00-04:00";89.006
"Average sig_qual";"2019-09-07T20:00:00-04:00";88.624
"Average sig_qual";"2019-09-08T20:00:00-04:00";86.905
"Average sig_qual";"2019-09-09T20:00:00-04:00";85.109
"Average sig_qual";"2019-09-10T20:00:00-04:00";86.341
"Average sig_qual";"2019-09-11T20:00:00-04:00";84.868
"Average sig_qual";"2019-09-12T20:00:00-04:00";94.585
"Average sig_qual";"2019-09-13T20:00:00-04:00";98.49
"Average sig_qual";"2019-09-14T20:00:00-04:00";98.625
"Average sig_qual";"2019-09-15T20:00:00-04:00";97.588
"Average sig_qual";"2019-09-16T20:00:00-04:00";71.121
"Average sig_qual";"2019-09-17T20:00:00-04:00";79.808
"Average sig_qual";"2019-09-18T20:00:00-04:00";90.001
"Average sig_qual";"2019-09-19T20:00:00-04:00";92.499
"Average sig_qual";"2019-09-20T20:00:00-04:00";96.995
"Average sig_qual";"2019-09-21T20:00:00-04:00";93.807
"Average sig_qual";"2019-09-22T20:00:00-04:00";93.912
"Average sig_qual";"2019-09-23T20:00:00-04:00";93.031
"Average sig_qual";"2019-09-24T20:00:00-04:00";95.175
"Average sig_qual";"2019-09-25T20:00:00-04:00";91.155
"Average sig_qual";"2019-09-26T20:00:00-04:00";93.829
"Average sig_qual";"2019-09-27T20:00:00-04:00";89.536
"Average sig_qual";"2019-09-28T20:00:00-04:00";95.358
"Average sig_qual";"2019-09-29T20:00:00-04:00";91.171
"Average sig_qual";"2019-09-30T20:00:00-04:00";92.231
"Average sig_qual";"2019-10-01T20:00:00-04:00";92.664
"Average sig_qual";"2019-10-02T20:00:00-04:00";91.364
"Average sig_qual";"2019-10-03T20:00:00-04:00";95.002
"Average sig_qual";"2019-10-04T20:00:00-04:00";93.479
"Average sig_qual";"2019-10-05T20:00:00-04:00";95.457
"Average sig_qual";"2019-10-06T20:00:00-04:00";91.394
"Average sig_qual";"2019-10-07T20:00:00-04:00";94.099
"Average sig_qual";"2019-10-08T20:00:00-04:00";96.346
"Average sig_qual";"2019-10-09T20:00:00-04:00";96.829
"Average sig_qual";"2019-10-10T20:00:00-04:00";98.722
"Average sig_qual";"2019-10-11T20:00:00-04:00";98.582
"Average sig_qual";"2019-10-12T20:00:00-04:00";98.899
"Average sig_qual";"2019-10-13T20:00:00-04:00";98.575
"Average sig_qual";"2019-10-14T20:00:00-04:00";99.832
"Average sig_qual";"2019-10-15T20:00:00-04:00";99.165
"Average sig_qual";"2019-10-16T20:00:00-04:00";99.351
"Average sig_qual";"2019-10-17T20:00:00-04:00";99.808
"Average sig_qual";"2019-10-18T20:00:00-04:00";94.24
"Average sig_qual";"2019-10-19T20:00:00-04:00";94.622
"Average sig_qual";"2019-10-20T20:00:00-04:00";99.401
"Average sig_qual";"2019-10-21T20:00:00-04:00";96.24
"Average sig_qual";"2019-10-22T20:00:00-04:00";97.322
"Average sig_qual";"2019-10-23T20:00:00-04:00";93.171
"Average sig_qual";"2019-10-24T20:00:00-04:00";90.606
"Average sig_qual";"2019-10-25T20:00:00-04:00";86.628
"Average sig_qual";"2019-10-26T20:00:00-04:00";86.322
"Average sig_qual";"2019-10-27T20:00:00-04:00";86.237
"Average sig_qual";"2019-10-28T20:00:00-04:00";89.599
"Average sig_qual";"2019-10-29T20:00:00-04:00";94.668
"Average sig_qual";"2019-10-30T20:00:00-04:00";95.303
"Average sig_qual";"2019-10-31T20:00:00-04:00";89.312
"Average sig_qual";"2019-11-01T20:00:00-04:00";87.866
"Average sig_qual";"2019-11-02T20:00:00-04:00";89.338
"Average sig_qual";"2019-11-03T19:00:00-05:00";94.691
"Average sig_qual";"2019-11-04T19:00:00-05:00";90.475
"Average sig_qual";"2019-11-05T19:00:00-05:00";89.246
"Average sig_qual";"2019-11-06T19:00:00-05:00";89.611
"Average sig_qual";"2019-11-07T19:00:00-05:00";88.965
"Average sig_qual";"2019-11-08T19:00:00-05:00";90.566
"Average sig_qual";"2019-11-09T19:00:00-05:00";90.767
"Average sig_qual";"2019-11-10T19:00:00-05:00";91.825
"Average sig_qual";"2019-11-11T19:00:00-05:00";92.571
"Average sig_qual";"2019-11-12T19:00:00-05:00";90.03
"Average sig_qual";"2019-11-13T19:00:00-05:00";91.901
"Average sig_qual";"2019-11-14T19:00:00-05:00";84.36
"Average sig_qual";"2019-11-15T19:00:00-05:00";89.775
"Average sig_qual";"2019-11-16T19:00:00-05:00";86.352
"Average sig_qual";"2019-11-17T19:00:00-05:00";84.516
"Average sig_qual";"2019-11-18T19:00:00-05:00";83.082
"Average sig_qual";"2019-11-19T19:00:00-05:00";87.519
"Average sig_qual";"2019-11-20T19:00:00-05:00";81.677
"Average sig_qual";"2019-11-21T19:00:00-05:00";84.729
"Average sig_qual";"2019-11-22T19:00:00-05:00";83.93
"Average sig_qual";"2019-11-23T19:00:00-05:00";83.827
"Average sig_qual";"2019-11-24T19:00:00-05:00";85.03
"Average sig_qual";"2019-11-25T19:00:00-05:00";86.02
"Average sig_qual";"2019-11-26T19:00:00-05:00";87.67
"Average sig_qual";"2019-11-27T19:00:00-05:00";79.492
"Average sig_qual";"2019-11-28T19:00:00-05:00";80.148
"Average sig_qual";"2019-11-29T19:00:00-05:00";79.364
"Average sig_qual";"2019-11-30T19:00:00-05:00";80.005
"Average sig_qual";"2019-12-01T19:00:00-05:00";80.505
"Average sig_qual";"2019-12-02T19:00:00-05:00";87.232
"Average sig_qual";"2019-12-03T19:00:00-05:00";87.808
"Average sig_qual";"2019-12-04T19:00:00-05:00";88.269
"Average sig_qual";"2019-12-05T19:00:00-05:00";87.04
"Average sig_qual";"2019-12-06T19:00:00-05:00";81.908
"Average sig_qual";"2019-12-07T19:00:00-05:00";83.842
"Average sig_qual";"2019-12-08T19:00:00-05:00";81.707
"Average sig_qual";"2019-12-09T19:00:00-05:00";84.322
"Average sig_qual";"2019-12-10T19:00:00-05:00";84.838
"Average sig_qual";"2019-12-11T19:00:00-05:00";84.639
"Average sig_qual";"2019-12-12T19:00:00-05:00";86.345
"Average sig_qual";"2019-12-13T19:00:00-05:00";81.077
"Average sig_qual";"2019-12-14T19:00:00-05:00";82.249
"Average sig_qual";"2019-12-15T19:00:00-05:00";85.27
"Average sig_qual";"2019-12-16T19:00:00-05:00";81.466
"Average sig_qual";"2019-12-17T19:00:00-05:00";81.401
"Average sig_qual";"2019-12-18T19:00:00-05:00";86.101
"Average sig_qual";"2019-12-19T19:00:00-05:00";90.7
"Average sig_qual";"2019-12-20T19:00:00-05:00";90.105
"Average sig_qual";"2019-12-21T19:00:00-05:00";87.927
"Average sig_qual";"2019-12-22T19:00:00-05:00";82.294
"Average sig_qual";"2019-12-23T19:00:00-05:00";81.613
"Average sig_qual";"2019-12-24T19:00:00-05:00";86.053
"Average sig_qual";"2019-12-25T19:00:00-05:00";86.492
"Average sig_qual";"2019-12-26T19:00:00-05:00";80.07
"Average sig_qual";"2019-12-27T19:00:00-05:00";77.353
"Average sig_qual";"2019-12-28T19:00:00-05:00";75.567
"Average sig_qual";"2019-12-29T19:00:00-05:00";88.844
"Average sig_qual";"2019-12-30T19:00:00-05:00";87.714
"Average sig_qual";"2019-12-31T19:00:00-05:00";88.967
"Average sig_qual";"2020-01-01T19:00:00-05:00";86.399
"Average sig_qual";"2020-01-02T19:00:00-05:00";83.714
"Average sig_qual";"2020-01-03T19:00:00-05:00";82.685
"Average sig_qual";"2020-01-04T19:00:00-05:00";86.411
"Average sig_qual";"2020-01-05T19:00:00-05:00";90.779
"Average sig_qual";"2020-01-06T19:00:00-05:00";82.514
"Average sig_qual";"2020-01-07T19:00:00-05:00";83.664
"Average sig_qual";"2020-01-08T19:00:00-05:00";85.795
"Average sig_qual";"2020-01-09T19:00:00-05:00";82.34
"Average sig_qual";"2020-01-10T19:00:00-05:00";81.876
"Average sig_qual";"2020-01-11T19:00:00-05:00";80.824
"Average sig_qual";"2020-01-12T19:00:00-05:00";81.194
"Average sig_qual";"2020-01-13T19:00:00-05:00";85.648
"Average sig_qual";"2020-01-14T19:00:00-05:00";91.782
"Average sig_qual";"2020-01-15T19:00:00-05:00";91.285
"Average sig_qual";"2020-01-16T19:00:00-05:00";85.852
"Average sig_qual";"2020-01-17T19:00:00-05:00";89.062
"Average sig_qual";"2020-01-18T19:00:00-05:00";91.1
"Average sig_qual";"2020-01-19T19:00:00-05:00";89.848
"Average sig_qual";"2020-01-20T19:00:00-05:00";74.694
"Average sig_qual";"2020-01-21T19:00:00-05:00";88.383
"Average sig_qual";"2020-01-22T19:00:00-05:00";89.429
"Average sig_qual";"2020-01-23T19:00:00-05:00";82.773
"Average sig_qual";"2020-01-24T19:00:00-05:00";83.91
"Average sig_qual";"2020-01-25T19:00:00-05:00";89.959
"Average sig_qual";"2020-01-26T19:00:00-05:00";84.701
"Average sig_qual";"2020-01-27T19:00:00-05:00";87.531
"Average sig_qual";"2020-01-28T19:00:00-05:00";89.662
"Average sig_qual";"2020-01-29T19:00:00-05:00";86.635
"Average sig_qual";"2020-01-30T19:00:00-05:00";87.53
"Average sig_qual";"2020-01-31T19:00:00-05:00";85.158
"Average sig_qual";"2020-02-01T19:00:00-05:00";82.524
"Average sig_qual";"2020-02-02T19:00:00-05:00";83.131
"Average sig_qual";"2020-02-03T19:00:00-05:00";81.147
"Average sig_qual";"2020-02-04T19:00:00-05:00";82.652
"Average sig_qual";"2020-02-05T19:00:00-05:00";81.597
"Average sig_qual";"2020-02-06T19:00:00-05:00";82.2
"Average sig_qual";"2020-02-07T19:00:00-05:00";81.005
"Average sig_qual";"2020-02-08T19:00:00-05:00";77.779
"Average sig_qual";"2020-02-09T19:00:00-05:00";82.176
"Average sig_qual";"2020-02-10T19:00:00-05:00";80.763
"Average sig_qual";"2020-02-11T19:00:00-05:00";80.125
"Average sig_qual";"2020-02-12T19:00:00-05:00";84.937
"Average sig_qual";"2020-02-13T19:00:00-05:00";87.766
"Average sig_qual";"2020-02-14T19:00:00-05:00";77.224
"Average sig_qual";"2020-02-15T19:00:00-05:00";70.422
"Average sig_qual";"2020-02-16T19:00:00-05:00";84.72
"Average sig_qual";"2020-02-17T19:00:00-05:00";83.873
