"Series";"Time";"Value"
"Average sig_qual";"2019-08-18T20:00:00-04:00";77.313
"Average sig_qual";"2019-08-19T20:00:00-04:00";75.669
"Average sig_qual";"2019-08-20T20:00:00-04:00";74.694
"Average sig_qual";"2019-08-21T20:00:00-04:00";84.539
"Average sig_qual";"2019-08-22T20:00:00-04:00";87.547
"Average sig_qual";"2019-08-23T20:00:00-04:00";85.194
"Average sig_qual";"2019-08-24T20:00:00-04:00";86.105
"Average sig_qual";"2019-08-25T20:00:00-04:00";90.704
"Average sig_qual";"2019-08-26T20:00:00-04:00";90.506
"Average sig_qual";"2019-08-27T20:00:00-04:00";87.627
"Average sig_qual";"2019-08-28T20:00:00-04:00";87.966
"Average sig_qual";"2019-08-29T20:00:00-04:00";89.216
"Average sig_qual";"2019-08-30T20:00:00-04:00";90.244
"Average sig_qual";"2019-08-31T20:00:00-04:00";91.366
"Average sig_qual";"2019-09-01T20:00:00-04:00";90.116
"Average sig_qual";"2019-09-02T20:00:00-04:00";88.143
"Average sig_qual";"2019-09-03T20:00:00-04:00";86.232
"Average sig_qual";"2019-09-04T20:00:00-04:00";87.837
"Average sig_qual";"2019-09-05T20:00:00-04:00";89.421
"Average sig_qual";"2019-09-06T20:00:00-04:00";89.905
"Average sig_qual";"2019-09-07T20:00:00-04:00";91.368
"Average sig_qual";"2019-09-08T20:00:00-04:00";90.422
"Average sig_qual";"2019-09-09T20:00:00-04:00";90.967
"Average sig_qual";"2019-09-10T20:00:00-04:00";89.457
"Average sig_qual";"2019-09-11T20:00:00-04:00";89.493
"Average sig_qual";"2019-09-12T20:00:00-04:00";91.259
"Average sig_qual";"2019-09-13T20:00:00-04:00";90.859
"Average sig_qual";"2019-09-14T20:00:00-04:00";90.381
"Average sig_qual";"2019-09-15T20:00:00-04:00";90.782
"Average sig_qual";"2019-09-16T20:00:00-04:00";80.413
"Average sig_qual";"2019-09-17T20:00:00-04:00";91.83
"Average sig_qual";"2019-09-18T20:00:00-04:00";92.906
"Average sig_qual";"2019-09-19T20:00:00-04:00";90.363
"Average sig_qual";"2019-09-20T20:00:00-04:00";92.667
"Average sig_qual";"2019-09-21T20:00:00-04:00";91.821
"Average sig_qual";"2019-09-22T20:00:00-04:00";90.973
"Average sig_qual";"2019-09-23T20:00:00-04:00";88.313
"Average sig_qual";"2019-09-24T20:00:00-04:00";92.067
"Average sig_qual";"2019-09-25T20:00:00-04:00";89.748
"Average sig_qual";"2019-09-26T20:00:00-04:00";88.259
"Average sig_qual";"2019-09-27T20:00:00-04:00";86.226
"Average sig_qual";"2019-09-28T20:00:00-04:00";86.006
"Average sig_qual";"2019-09-29T20:00:00-04:00";84.782
"Average sig_qual";"2019-09-30T20:00:00-04:00";79.954
"Average sig_qual";"2019-10-01T20:00:00-04:00";81.443
"Average sig_qual";"2019-10-02T20:00:00-04:00";85.373
"Average sig_qual";"2019-10-03T20:00:00-04:00";84.517
"Average sig_qual";"2019-10-04T20:00:00-04:00";85.282
"Average sig_qual";"2019-10-05T20:00:00-04:00";86.098
"Average sig_qual";"2019-10-06T20:00:00-04:00";82.758
"Average sig_qual";"2019-10-07T20:00:00-04:00";83.257
"Average sig_qual";"2019-10-08T20:00:00-04:00";88.748
"Average sig_qual";"2019-10-09T20:00:00-04:00";86.606
"Average sig_qual";"2019-10-10T20:00:00-04:00";90.696
"Average sig_qual";"2019-10-11T20:00:00-04:00";90.112
"Average sig_qual";"2019-10-12T20:00:00-04:00";90.557
"Average sig_qual";"2019-10-13T20:00:00-04:00";85.712
"Average sig_qual";"2019-10-14T20:00:00-04:00";86.08
"Average sig_qual";"2019-10-15T20:00:00-04:00";90.221
"Average sig_qual";"2019-10-16T20:00:00-04:00";86.245
"Average sig_qual";"2019-10-17T20:00:00-04:00";89.616
"Average sig_qual";"2019-10-18T20:00:00-04:00";83.864
"Average sig_qual";"2019-10-19T20:00:00-04:00";77.196
"Average sig_qual";"2019-10-20T20:00:00-04:00";85.605
"Average sig_qual";"2019-10-21T20:00:00-04:00";87.061
"Average sig_qual";"2019-10-22T20:00:00-04:00";83.12
"Average sig_qual";"2019-10-23T20:00:00-04:00";84.699
"Average sig_qual";"2019-10-24T20:00:00-04:00";85.241
"Average sig_qual";"2019-10-25T20:00:00-04:00";83.568
"Average sig_qual";"2019-10-26T20:00:00-04:00";87.598
"Average sig_qual";"2019-10-27T20:00:00-04:00";85.515
"Average sig_qual";"2019-10-28T20:00:00-04:00";81.086
"Average sig_qual";"2019-10-29T20:00:00-04:00";83.442
"Average sig_qual";"2019-10-30T20:00:00-04:00";84.046
"Average sig_qual";"2019-10-31T20:00:00-04:00";82.588
"Average sig_qual";"2019-11-01T20:00:00-04:00";85.973
"Average sig_qual";"2019-11-02T20:00:00-04:00";83.922
"Average sig_qual";"2019-11-03T19:00:00-05:00";85.731
"Average sig_qual";"2019-11-04T19:00:00-05:00";82.73
"Average sig_qual";"2019-11-05T19:00:00-05:00";80.407
"Average sig_qual";"2019-11-06T19:00:00-05:00";83.454
"Average sig_qual";"2019-11-07T19:00:00-05:00";80.657
"Average sig_qual";"2019-11-08T19:00:00-05:00";77.211
"Average sig_qual";"2019-11-09T19:00:00-05:00";79.706
"Average sig_qual";"2019-11-10T19:00:00-05:00";81.429
"Average sig_qual";"2019-11-11T19:00:00-05:00";82.831
"Average sig_qual";"2019-11-12T19:00:00-05:00";81.56
"Average sig_qual";"2019-11-13T19:00:00-05:00";78.834
"Average sig_qual";"2019-11-14T19:00:00-05:00";76.991
"Average sig_qual";"2019-11-15T19:00:00-05:00";82.576
"Average sig_qual";"2019-11-16T19:00:00-05:00";81.46
"Average sig_qual";"2019-11-17T19:00:00-05:00";82.862
"Average sig_qual";"2019-11-18T19:00:00-05:00";81.546
"Average sig_qual";"2019-11-19T19:00:00-05:00";81.492
"Average sig_qual";"2019-11-20T19:00:00-05:00";83.052
"Average sig_qual";"2019-11-21T19:00:00-05:00";83.423
"Average sig_qual";"2019-11-22T19:00:00-05:00";85.492
"Average sig_qual";"2019-11-23T19:00:00-05:00";89.313
"Average sig_qual";"2019-11-24T19:00:00-05:00";84.201
"Average sig_qual";"2019-11-25T19:00:00-05:00";82.83
"Average sig_qual";"2019-11-26T19:00:00-05:00";84.579
"Average sig_qual";"2019-11-27T19:00:00-05:00";85.586
"Average sig_qual";"2019-11-28T19:00:00-05:00";85.363
"Average sig_qual";"2019-11-29T19:00:00-05:00";83.717
"Average sig_qual";"2019-11-30T19:00:00-05:00";86.264
"Average sig_qual";"2019-12-01T19:00:00-05:00";89.202
"Average sig_qual";"2019-12-02T19:00:00-05:00";81.747
"Average sig_qual";"2019-12-03T19:00:00-05:00";82.082
"Average sig_qual";"2019-12-04T19:00:00-05:00";82.976
"Average sig_qual";"2019-12-05T19:00:00-05:00";82.156
"Average sig_qual";"2019-12-06T19:00:00-05:00";86.365
"Average sig_qual";"2019-12-07T19:00:00-05:00";82.841
"Average sig_qual";"2019-12-08T19:00:00-05:00";82.134
"Average sig_qual";"2019-12-09T19:00:00-05:00";84.406
"Average sig_qual";"2019-12-10T19:00:00-05:00";78.122
"Average sig_qual";"2019-12-11T19:00:00-05:00";86.771
"Average sig_qual";"2019-12-12T19:00:00-05:00";79.412
"Average sig_qual";"2019-12-13T19:00:00-05:00";78.052
"Average sig_qual";"2019-12-14T19:00:00-05:00";81.162
"Average sig_qual";"2019-12-15T19:00:00-05:00";77.396
"Average sig_qual";"2019-12-16T19:00:00-05:00";78.331
"Average sig_qual";"2019-12-17T19:00:00-05:00";78.528
"Average sig_qual";"2019-12-18T19:00:00-05:00";76.355
"Average sig_qual";"2019-12-19T19:00:00-05:00";80.451
