Value
82.534
87.816
84.27
90.346
92.532
86.449
93.998
89.286
92.549
89.164
90.936
93.384
89.013
87.615
86.629
81.532
80.626
87.094
86.925
86.417
87.317
85.109
84.644
85.227
85.569
85.086
80.861
87.34
84.848
80.074
82.989
83.408
81.545
80.66
75.696
80.374
85.621
81.87
82.639
81.581
78.389
78.691
76.041
77.449
80.275
85.553
86.209
86.757
86.685
86.384
83.461
77.889
78.098
77.889
74.535
79.417
84.522
84.408
85.961
84.527
82.745
77.129
83.528
80.589
78.747
75.763
77.974
78.477
77.36
77.135
77.835
73.199
75.684
75.804
76.061
79.781
76.727
76.803
78.455
76.594
76.47
73.838
76.055
77.809
76.707
77.238
74.421
84.813
89.096
91.645
84.552
75.433
90.678
93.406
94.396
94.262
90.588
94.663
73.483
83.977
78.562
74.318
74.181
71.257
73.892
75.696
74.369
74.335
73.768
71.441
70.557
77.876
76.282
74.706
81.75
78.243
74.879
77.098
76.509
80.718
79.7
83.257
84.417
86.231
86.61
87.234
86.344
84.058
87.8
78.884
84.017
83.922
72.933
92.228
86.568
90.21
89.482
91.047
89.738
92.223
86.37
88.378
88.047
88.47
87.729
89.865
88.903
87.014
76.938
75.822
75.841
79.692
78.773
74.714
78.912
87.018
75.929
75.026
76.638
80.241
73.278
74.256
85.333
83.909
86.025
75.37
69.883
74.654
75.586
70.87
72.251
82.825
82.426
79.351
79.339
76.391
85.29
87.096
88.397
86.416
87.838
88.237
80.934
77.701
75.104
80.129
88.693
76.052
78.934
89.99
90.947
85.19
84.062
78.424
70.014
71.33
69.558
71.907
72.939
73.631
73.445
70.233
79.176
79.008
78.461
82.342
81.827
75.287
71.774
79.72
86.234
74.537
79.23
74.45
71.649
73.382
81.115
94.036
90.006
78.516
85.4
85.458
90.835
85.053
85.133
84.839
86.006
85.246
69.425
84.576
86.889
82.661
89.033
89.348
82.324
83.174
84.346
78.71
87.195
85.363
80.325
84.547
84.799
85.841
72.669
73.575
75.057
77.197
79.935
92.77
85.959
79.441
78.518
83.198
87.552
85.987
88.408
81.024
76.062
81.527
76.241
93.921
90.179
null
null
97.886
94.404
97.418
90.242
82.549
92.846
96.047
88.248
89.214
93.478
98.576
93.961
94.124
95.999
88.602
90.294
88.842
88.342
91.079
92.673
92.907
91.943
92.209
87.88
90.635
97.595
91.437
90.325
90.546
91.641
92.114
91.168
90.787
95.269
94.674
91.751
92.205
88.341
92.071
91.28
91.366
92.686
94.572
92.804
94.731
94.02
92.366
null
90.204
92.981
92.669
91.999
null
92.575
89.273
89.86
93.207
91.711
93.113
93.07
92.259
93.716
92.456
94.299
94.157
92.564
73.809
96.975
93.593
94.934
92.331
94.134
94.661
93.304
91.825
72.307
95.232
94.628
93.513
92.449
91.487
90.829
91.761
null
96.171
null
94.775
89.955
90.937
91.981
89.715
92.862
92.534
93.278
90.214
null
null
null
92.656
92.273
93.345
93.64
89.993
null
90.893
91.975
91.532
91.579
93.194
94.513
94.146
94.071
93.694
92.785
92.641
93.421
89.963
93.447
91.015
90.05
89.862
86.607
88.525
90.012
null
null
null
93.26
89.683
88.452
89.884
91.511
92.023
92.212
91.691
87.03
87.377
null
null
92.147
91.997
91.599
87.711
91.261
96.125
86.018
88.906
87.934
87.656
88.89
88.851
89.776
87.728
86.297
87.954
87.151
84.938
null
87.682
86.752
87.543
85.132
87.48
87.081
88.529
89.206
86.641
86.953
87.752
87.063
87.234
87.184
null
88.106
87.794
88.198
88.12
89.173
89.556
null
88.125
86.166
87.001
86.083
86.3
86.482
86.489
86.594
85.587
87.965
84.994
75.125
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
87.15
86.728
81.824
82.89
84.288
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
66.364
67.499
65.505
66.892
69.041
67.669
69.145
71.151
71.041
70.21
69.014
68.403
65.745
67.868
69.901
68.878
68.339
62.749
65.726
63.863
63.641
63.758
63.5
63.242
64.406
63.312
65.915
64.186
64.147
64.12
63.455
65.437
63.26
65.388
67.889
68.898
64.634
62.976
63.435
62
62.297
62.052
62.427
62.61
63.916
64.41
62.589
63.258
62.304
63.397
62.762
74.045
72.626
67.602
72.952
65.453
64.421
63.614
64.783
64.016
65.237
69.541
66.203
69.107
64.518
72.329
70.877
