"Series";"Time";"Value"
"Average sig_qual";"2019-08-17T20:00:00-04:00";74.181
"Average sig_qual";"2019-08-18T20:00:00-04:00";71.257
"Average sig_qual";"2019-08-19T20:00:00-04:00";73.892
"Average sig_qual";"2019-08-20T20:00:00-04:00";75.696
"Average sig_qual";"2019-08-21T20:00:00-04:00";74.369
"Average sig_qual";"2019-08-22T20:00:00-04:00";74.335
"Average sig_qual";"2019-08-23T20:00:00-04:00";73.768
"Average sig_qual";"2019-08-24T20:00:00-04:00";71.441
"Average sig_qual";"2019-08-25T20:00:00-04:00";70.557
"Average sig_qual";"2019-08-26T20:00:00-04:00";77.876
"Average sig_qual";"2019-08-27T20:00:00-04:00";76.282
"Average sig_qual";"2019-08-28T20:00:00-04:00";74.706
"Average sig_qual";"2019-08-29T20:00:00-04:00";81.75
"Average sig_qual";"2019-08-30T20:00:00-04:00";78.243
"Average sig_qual";"2019-08-31T20:00:00-04:00";74.879
"Average sig_qual";"2019-09-01T20:00:00-04:00";77.098
"Average sig_qual";"2019-09-02T20:00:00-04:00";76.509
"Average sig_qual";"2019-09-03T20:00:00-04:00";80.718
"Average sig_qual";"2019-09-04T20:00:00-04:00";79.7
"Average sig_qual";"2019-09-05T20:00:00-04:00";83.257
"Average sig_qual";"2019-09-06T20:00:00-04:00";84.417
"Average sig_qual";"2019-09-07T20:00:00-04:00";86.231
"Average sig_qual";"2019-09-08T20:00:00-04:00";86.61
"Average sig_qual";"2019-09-09T20:00:00-04:00";87.234
"Average sig_qual";"2019-09-10T20:00:00-04:00";86.344
"Average sig_qual";"2019-09-11T20:00:00-04:00";84.058
"Average sig_qual";"2019-09-12T20:00:00-04:00";87.8
"Average sig_qual";"2019-09-13T20:00:00-04:00";78.884
"Average sig_qual";"2019-09-14T20:00:00-04:00";84.017
"Average sig_qual";"2019-09-15T20:00:00-04:00";83.922
"Average sig_qual";"2019-09-16T20:00:00-04:00";72.933
"Average sig_qual";"2019-09-17T20:00:00-04:00";92.228
"Average sig_qual";"2019-09-18T20:00:00-04:00";86.568
"Average sig_qual";"2019-09-19T20:00:00-04:00";90.21
"Average sig_qual";"2019-09-20T20:00:00-04:00";89.482
"Average sig_qual";"2019-09-21T20:00:00-04:00";91.047
"Average sig_qual";"2019-09-22T20:00:00-04:00";89.738
"Average sig_qual";"2019-09-23T20:00:00-04:00";92.223
"Average sig_qual";"2019-09-24T20:00:00-04:00";86.37
"Average sig_qual";"2019-09-25T20:00:00-04:00";88.378
"Average sig_qual";"2019-09-26T20:00:00-04:00";88.047
"Average sig_qual";"2019-09-27T20:00:00-04:00";88.47
"Average sig_qual";"2019-09-28T20:00:00-04:00";87.729
"Average sig_qual";"2019-09-29T20:00:00-04:00";89.865
"Average sig_qual";"2019-09-30T20:00:00-04:00";88.903
"Average sig_qual";"2019-10-01T20:00:00-04:00";87.014
"Average sig_qual";"2019-10-02T20:00:00-04:00";76.938
"Average sig_qual";"2019-10-03T20:00:00-04:00";75.822
"Average sig_qual";"2019-10-04T20:00:00-04:00";75.841
"Average sig_qual";"2019-10-05T20:00:00-04:00";79.692
"Average sig_qual";"2019-10-06T20:00:00-04:00";78.773
"Average sig_qual";"2019-10-07T20:00:00-04:00";74.714
"Average sig_qual";"2019-10-08T20:00:00-04:00";78.912
"Average sig_qual";"2019-10-09T20:00:00-04:00";87.018
"Average sig_qual";"2019-10-10T20:00:00-04:00";75.929
"Average sig_qual";"2019-10-11T20:00:00-04:00";75.026
"Average sig_qual";"2019-10-12T20:00:00-04:00";76.638
"Average sig_qual";"2019-10-13T20:00:00-04:00";80.241
"Average sig_qual";"2019-10-14T20:00:00-04:00";73.278
"Average sig_qual";"2019-10-15T20:00:00-04:00";74.256
"Average sig_qual";"2019-10-16T20:00:00-04:00";85.333
"Average sig_qual";"2019-10-17T20:00:00-04:00";83.909
"Average sig_qual";"2019-10-18T20:00:00-04:00";86.025
"Average sig_qual";"2019-10-19T20:00:00-04:00";75.37
"Average sig_qual";"2019-10-20T20:00:00-04:00";69.883
"Average sig_qual";"2019-10-21T20:00:00-04:00";74.654
"Average sig_qual";"2019-10-22T20:00:00-04:00";75.586
"Average sig_qual";"2019-10-23T20:00:00-04:00";70.87
"Average sig_qual";"2019-10-24T20:00:00-04:00";72.251
"Average sig_qual";"2019-10-25T20:00:00-04:00";82.825
"Average sig_qual";"2019-10-26T20:00:00-04:00";82.426
"Average sig_qual";"2019-10-27T20:00:00-04:00";79.351
"Average sig_qual";"2019-10-28T20:00:00-04:00";79.339
"Average sig_qual";"2019-10-29T20:00:00-04:00";76.391
"Average sig_qual";"2019-10-30T20:00:00-04:00";85.29
"Average sig_qual";"2019-10-31T20:00:00-04:00";87.096
"Average sig_qual";"2019-11-01T20:00:00-04:00";88.397
"Average sig_qual";"2019-11-02T20:00:00-04:00";86.416
"Average sig_qual";"2019-11-03T19:00:00-05:00";87.838
"Average sig_qual";"2019-11-04T19:00:00-05:00";88.237
"Average sig_qual";"2019-11-05T19:00:00-05:00";80.934
"Average sig_qual";"2019-11-06T19:00:00-05:00";77.701
"Average sig_qual";"2019-11-07T19:00:00-05:00";75.104
"Average sig_qual";"2019-11-08T19:00:00-05:00";80.129
"Average sig_qual";"2019-11-09T19:00:00-05:00";88.693
"Average sig_qual";"2019-11-10T19:00:00-05:00";76.052
"Average sig_qual";"2019-11-11T19:00:00-05:00";78.934
"Average sig_qual";"2019-11-12T19:00:00-05:00";89.99
"Average sig_qual";"2019-11-13T19:00:00-05:00";90.947
"Average sig_qual";"2019-11-14T19:00:00-05:00";85.19
"Average sig_qual";"2019-11-15T19:00:00-05:00";84.062
"Average sig_qual";"2019-11-16T19:00:00-05:00";78.424
"Average sig_qual";"2019-11-17T19:00:00-05:00";70.014
"Average sig_qual";"2019-11-18T19:00:00-05:00";71.33
"Average sig_qual";"2019-11-19T19:00:00-05:00";69.558
"Average sig_qual";"2019-11-20T19:00:00-05:00";71.907
"Average sig_qual";"2019-11-21T19:00:00-05:00";72.939
"Average sig_qual";"2019-11-22T19:00:00-05:00";73.631
"Average sig_qual";"2019-11-23T19:00:00-05:00";73.445
"Average sig_qual";"2019-11-24T19:00:00-05:00";70.233
